Year,Month,Borough,Category,Requests
2009,Jun,Ville-Marie,Sewers,47
2009,Jun,Ville-Marie,Signage,182
2009,Jun,Ville-Marie,Taxes,21
2009,Jun,Ville-Marie,Trees,86
2009,Jun,Ville-Marie,Water,120
2009,Jun,Villeray–Saint-Michel–Parc-Extension,Bulky Collection,21
2009,Jun,Villeray–Saint-Michel–Parc-Extension,Dogs,29
2009,Jun,Villeray–Saint-Michel–Parc-Extension,Environment,101
2009,Jun,Villeray–Saint-Michel–Parc-Extension,Garbage Collection,158
2009,Jun,Villeray–Saint-Michel–Parc-Extension,Lighting,64
2009,Jun,Villeray–Saint-Michel–Parc-Extension,Other,57
2009,Jun,Villeray–Saint-Michel–Parc-Extension,Parking,150
2009,Jun,Villeray–Saint-Michel–Parc-Extension,Parks,31
2009,Jun,Villeray–Saint-Michel–Parc-Extension,Permits,51
2009,Jun,Villeray–Saint-Michel–Parc-Extension,Roads,238
2009,Jun,Villeray–Saint-Michel–Parc-Extension,Security,23
2009,Jun,Villeray–Saint-Michel–Parc-Extension,Selective Collection,153
2009,Jun,Villeray–Saint-Michel–Parc-Extension,Sewers,58
2009,Jun,Villeray–Saint-Michel–Parc-Extension,Signage,83
2009,Jun,Villeray–Saint-Michel–Parc-Extension,Taxes,27
2009,Jun,Villeray–Saint-Michel–Parc-Extension,Trees,158
2009,Jun,Villeray–Saint-Michel–Parc-Extension,Water,111
2009,Mar,Ahuntsic-Cartierville,Bulky Collection,33
2009,Mar,Ahuntsic-Cartierville,Dogs,18
2009,Mar,Ahuntsic-Cartierville,Environment,19
2009,Mar,Ahuntsic-Cartierville,Garbage Collection,110
2009,Mar,Ahuntsic-Cartierville,Lighting,88
2009,Mar,Ahuntsic-Cartierville,Other,89
2009,Mar,Ahuntsic-Cartierville,Parking,74
2009,Mar,Ahuntsic-Cartierville,Parks,14
2009,Mar,Ahuntsic-Cartierville,Permits,16
2009,Mar,Ahuntsic-Cartierville,Roads,230
2009,Mar,Ahuntsic-Cartierville,Security,13
2009,Mar,Ahuntsic-Cartierville,Selective Collection,175
2009,Mar,Ahuntsic-Cartierville,Sewers,35
2009,Mar,Ahuntsic-Cartierville,Signage,137
2009,Mar,Ahuntsic-Cartierville,Snow,11
2009,Mar,Ahuntsic-Cartierville,Taxes,22
2009,Mar,Ahuntsic-Cartierville,Trees,78
2009,Mar,Ahuntsic-Cartierville,Water,76
2009,Mar,Anjou,Bulky Collection,1
2009,Mar,Anjou,Environment,8
2009,Mar,Anjou,Garbage Collection,1
2009,Mar,Anjou,Lighting,37
2009,Mar,Anjou,Other,35
2009,Mar,Anjou,Parks,6
2009,Mar,Anjou,Permits,4
2009,Mar,Anjou,Roads,31
2009,Mar,Anjou,Selective Collection,30
2009,Mar,Anjou,Sewers,14
2009,Mar,Anjou,Signage,13
2009,Mar,Anjou,Snow,5
2009,Mar,Anjou,Taxes,3
2009,Mar,Anjou,Trees,8
2009,Mar,Anjou,Water,20
2009,Mar,Côte-des-Neiges–Notre-Dame-de-Grâce,Bulky Collection,18
2009,Mar,Côte-des-Neiges–Notre-Dame-de-Grâce,Dogs,105
2009,Mar,Côte-des-Neiges–Notre-Dame-de-Grâce,Environment,31
2009,Mar,Côte-des-Neiges–Notre-Dame-de-Grâce,Garbage Collection,184
2009,Mar,Côte-des-Neiges–Notre-Dame-de-Grâce,Lighting,61
2009,Mar,Côte-des-Neiges–Notre-Dame-de-Grâce,Other,85
2009,Mar,Côte-des-Neiges–Notre-Dame-de-Grâce,Parking,179
2009,Mar,Côte-des-Neiges–Notre-Dame-de-Grâce,Parks,26
2009,Mar,Côte-des-Neiges–Notre-Dame-de-Grâce,Permits,36
2009,Mar,Côte-des-Neiges–Notre-Dame-de-Grâce,Roads,159
2009,Mar,Côte-des-Neiges–Notre-Dame-de-Grâce,Security,18
2009,Mar,Côte-des-Neiges–Notre-Dame-de-Grâce,Selective Collection,90
2009,Mar,Côte-des-Neiges–Notre-Dame-de-Grâce,Sewers,44
2009,Mar,Côte-des-Neiges–Notre-Dame-de-Grâce,Signage,192
2009,Mar,Côte-des-Neiges–Notre-Dame-de-Grâce,Snow,28
2009,Mar,Côte-des-Neiges–Notre-Dame-de-Grâce,Taxes,9
2009,Mar,Côte-des-Neiges–Notre-Dame-de-Grâce,Trees,124
2009,Mar,Côte-des-Neiges–Notre-Dame-de-Grâce,Water,93
2009,Mar,LaSalle,Bulky Collection,1
2009,Mar,LaSalle,Dogs,355
2009,Mar,LaSalle,Environment,51
2009,Mar,LaSalle,Garbage Collection,19
2009,Mar,LaSalle,Lighting,20
2009,Mar,LaSalle,Other,57
